entry_id,jlpt_level,surface,reading,tier,common,freq_rank,match,misc_tags,collision,gloss
1599020,1,"取り替え","とりかえ",B-review,false,,kanji,"",0,"swap; exchange"
1599170,1,"蕩ける","とろける",B-review,false,,kana-expr,"uk",0,"to melt (and become soft or liquid) | to be enchanted (by); to be charmed; to be bewitched"
1600150,1,"捩れる","ねじれる",A-remove,false,,kanji,"uk",1,"to get twisted; to get crooked; to get warped | to become twisted (of a mind, relationship, etc.); to become warped; to "
1600620,1,"映える","はえる",C-collision-but-established,true,,kanji,"",1,"to shine; to glow | to look attractive; to look nice; to be set off (by)"
1601870,2,"ひっくり返す","ひっくりかえす",B-review,false,,kanji,"",0,"to turn over; to turn upside down; to turn up | to knock over; to tip over"
1602810,4,"不憫","ふびん",A-remove,false,,kanji,"",1,"poor; pitiful; piteous"
1603220,1,"謙る","へりくだる",B-review,false,,kana-expr,"uk",0,"to deprecate oneself and praise the listener; to abase oneself"
1603540,3,"保母","ほぼ",A-remove,true,15,kana-expr,"dated",0,"(female) childcare worker; nursery school teacher"
1603740,1,"勃々","ぼつぼつ",B-review,false,,kana-expr,"",0,"spirited; rising; energetic"
1604135,4,"お祭り","おまつり",B-review,false,,kanji,"pol",0,"festival; feast; carnival"
1604460,3,"尊","みこと",A-remove,false,,kanji,"arch/derog",1,"Lord; Highness | you"
1604880,4,"筵","むしろ",A-remove,false,,kanji,"uk/form",1,"woven mat (esp. one made of straw) | seat"
1605310,1,"腿","もも",C-collision-but-established,true,,kanji,"",1,"thigh"
1606110,1,"寄りかかる","よりかかる",B-review,false,,kanji,"",0,"to lean against; to recline on; to lean on | to rely on; to depend on"
1607340,2,"裃","かみしも",A-remove,false,,kanji,"",1,"samurai costume; old ceremonial costume | top and bottom; up and down; high and low"
1607350,2,"上下","しょうか",A-remove,false,,kanji,"",1,"top and bottom; up and down; high and low | upper and lower classes; ruler and ruled; the government and the people"
1608940,3,"誼","よしみ",A-remove,false,,kanji,"uk",1,"friendship; friendly relations; connection"
1609580,2,"月日","がっぴ",C-collision-but-established,true,,kanji,"",1,"month and day (of the year); (the) date"
1609715,2,"潜る","もぐる",B-review,false,,kanji,"",0,"to dive (into or under water) | to get under; to get into; to get in"
1609730,3,"咥える","くわえる",B-review,false,,kanji,"uk",0,"to hold in one's mouth | to bring with; to take along"
1609980,1,"心中","しんちゅう",C-collision-but-established,true,,kanji,"",1,"one's heart; the mind; inner feelings"
1610640,2,"齧る","かじる",B-review,false,,kana-expr,"uk",0,"to gnaw; to nibble; to bite | to dabble in; to know a little bit about; to learn a little of"
1611090,2,"捩る","ねじる",A-remove,false,,kanji,"uk",1,"to twist; to screw; to wrench | to sprain"
1611370,2,"日にち","ひにち",C-collision-but-established,true,23,kanji,"",1,"date (of a planned event, act, etc.); day | (number of) days"
1612950,2,"遣っ付ける","やっつける",B-review,false,,kana-expr,"uk",0,"to beat; to attack (an enemy); to do away with"
1615260,2,"艶","えん",A-remove,false,,kanji,"",1,"charming; fascinating; voluptuous"
1620400,3,"中","ちゅう",C-collision-but-established,true,,kanji,"abbr",1,"medium (size); average (grade, level, etc.); middle | in; within; out of (e.g. ten people)"
1621290,3,"素","そ",A-remove,false,,kanji,"",1,"white silk | prime"
1621470,3,"都","と",A-remove,false,,kanji,"",1,"Metropolis (of Tokyo); (Tokyo) Metropolitan District; metropolitan prefecture | counter for cities and towns"
1626540,1,"片言","へんげん",A-remove,false,,kanji,"",1,"brief remark; few words | one side (e.g. of an argument); ex-parte statement"
1630250,3,"狭間","はざま",C-collision-but-established,true,33,kanji,"uk",1,"interval; space; interstice | valley; gorge; ravine"
1632290,2,"なだらか","なだらか",B-review,false,,kana-reading,"",0,"gently sloping; gentle; gradual | smooth (process); gentle (e.g. tone of voice); slow (e.g. growth)"
1632430,3,"ばったり","ばったり",B-review,false,,kana-expr,"on-mim",0,"with a clash; with a thud; with a bang | unexpectedly (meeting someone)"
1633970,3,"鞭","ムチ",A-remove,false,,kanji,"uk",1,"whip; lash; scourge | stick; cane; rod"
1636530,1,"掠る","かする",A-remove,false,,kanji,"uk",1,"to graze (e.g. bullet); to scratch; to touch lightly | to take a percentage; to exploit; to squeeze"
1639930,5,"戸戸","ここ",B-review,false,,kana-expr,"",0,"each house; every house"
1640430,3,"食い物","くいもの",C-collision-but-established,false,32,kanji,"",1,"food; foodstuff | prey; victim"
1642200,4,"悖る","もとる",A-remove,false,,kanji,"uk",1,"to go against; to act contrary to; to run counter to"
1643470,5,"大切り","おおぎり",A-remove,false,,kanji,"",1,"largely cut (e.g. of cabbage); cut into large pieces"
1647360,2,"お目出度い","おめでたい",B-review,false,,kana-expr,"uk/pol",0,"(matter) for congratulations; worthy of celebration; happy (occasion, ending, etc.) | naive; too good-natured; gullible"
1653340,4,"首級","しゅきゅう",C-collision-but-established,false,43,kanji,"",1,"decapitated head of an enemy"
1659920,5,"戸","こ",B-review,false,,kanji,"",0,"counter for houses, households, apartments, etc."
1663100,1,"うたた寝","うたたね",B-review,false,,kanji,"",0,"doze; nap; snooze"
1663770,4,"心算","しんさん",B-review,false,,kana-expr,"",0,"intention; plan; purpose | belief; assumption; thought"
1672130,2,"無沙汰","ぶさた",B-review,false,,kanji,"",0,"not writing or contacting for a while; neglecting to write (call, visit, etc.); failing to write (call, visit, etc.)"
